,price,host_is_superhost,host_total_listings_count,host_has_profile_pic,zipcode,property_type,room_type,bathrooms,beds,bed_type,security_deposit,cleaning_fee,minimum_nights,instant_bookable,cancellation_policy,senti_score,walk_score
980,240.0,1,2.0,1,94110,2,1,1.0,2.0,1,250.0,100.0,4,0,2,0.7895310344827585,99
981,125.0,1,1.0,1,94117,2,2,1.0,1.0,1,0.0,0.0,3,0,2,0.8105626126126123,97
982,450.0,0,1.0,1,94123,1,1,1.0,1.0,1,0.0,125.0,4,0,3,0.74755,97
983,75.0,1,2.0,1,94117,1,2,1.0,1.0,1,200.0,20.0,30,1,1,0.7241067929593654,97
984,129.0,1,1.0,1,94131,2,2,1.0,1.0,1,200.0,70.0,3,0,1,0.7241067929593654,71
985,119.0,1,5.0,1,94123,2,2,1.0,1.0,1,0.0,30.0,1,0,2,0.7979589123867064,97
986,245.0,0,1.0,1,94122,1,1,1.0,2.0,1,500.0,75.0,3,0,2,0.7858478260869564,93
987,200.0,1,1.0,1,94131,1,1,1.0,1.0,1,100.0,75.0,2,0,2,0.7597850415512463,71
988,155.0,1,1.0,1,94103,1,2,1.5,1.0,1,200.0,0.0,2,1,2,0.7629670184696575,97
989,155.0,1,2.0,1,94122,1,1,1.0,1.0,1,500.0,90.0,3,0,1,0.7546137614678899,93
990,115.0,0,21.0,1,94114,1,1,1.0,1.0,1,0.0,100.0,30,0,1,0.786931818181818,97
991,195.0,1,1.0,1,94122,1,1,1.0,1.0,1,200.0,60.0,2,0,2,0.7814091743119269,93
992,129.0,1,1.0,1,94114,1,2,1.0,1.0,3,200.0,0.0,1,0,2,0.7438624217118994,97
993,250.0,0,2.0,1,94110,1,1,1.0,4.0,1,500.0,100.0,14,0,1,0.64175,99
994,150.0,1,1.0,1,94117,2,2,1.0,1.0,1,200.0,60.0,2,0,2,0.8171693121693114,97
995,141.0,1,32.0,1,94109,1,1,1.0,1.0,1,500.0,125.0,30,0,2,0.6494625,100
996,217.0,0,35.0,1,94114,2,1,2.0,4.0,1,0.0,280.0,30,0,4,0.5719000000000001,97
997,115.0,0,1.0,1,94110,1,1,1.0,2.0,1,500.0,200.0,30,0,1,0.7272266666666666,99
998,70.0,0,3.0,1,94133,1,2,1.0,1.0,1,0.0,30.0,30,1,1,0.6490142857142855,98
999,350.0,0,4.0,1,94115,1,1,1.0,3.0,1,2000.0,140.0,30,0,1,0.6951323809523807,98
1000,150.0,1,3.0,1,94103,1,2,1.0,1.0,1,0.0,50.0,2,0,2,0.7532916666666669,97
1001,250.0,1,1.0,1,94110,2,1,2.0,2.0,1,0.0,100.0,3,0,2,0.6687863636363637,99
1002,79.0,1,2.0,1,94110,2,2,1.0,1.0,1,200.0,40.0,1,1,1,0.782447826086957,99
1003,170.0,1,1.0,1,94110,1,1,1.0,2.0,1,600.0,200.0,30,0,1,0.8709517241379312,99
1004,327.0,1,1.0,1,94110,1,1,1.0,2.0,1,450.0,110.0,2,0,1,0.8251818181818181,99
1005,375.0,0,1.0,1,94103,1,1,1.0,3.0,1,100.0,80.0,2,0,2,0.5370928571428571,97
1006,125.0,1,1.0,1,94110,1,1,1.0,1.0,1,100.0,70.0,4,0,2,0.8290826086956519,99
1007,900.0,0,1.0,1,94131,1,1,3.0,4.0,1,500.0,150.0,5,0,1,0.7429857142857142,71
1008,175.0,0,3.0,1,94109,1,1,1.0,1.0,1,700.0,80.0,5,0,1,0.7241067929593654,100
1009,115.0,0,2.0,1,94133,1,1,1.0,1.0,1,0.0,75.0,30,0,1,0.7678547619047619,98
